iter	Passed	Remaining
739	1515	532
740	1516	530
741	1518	527
742	1519	525
743	1520	523
744	1522	521
745	1523	518
746	1525	516
747	1527	514
748	1528	512
749	1530	510
750	1531	507
751	1532	505
752	1534	503
753	1535	500
754	1536	498
755	1538	496
756	1539	494
757	1541	492
758	1542	489
759	1544	487
760	1545	485
761	1547	483
762	1548	480
763	1549	478
764	1551	476
765	1552	474
766	1554	472
767	1555	469
768	1557	467
769	1559	465
770	1560	463
771	1561	461
772	1563	459
773	1564	456
774	1565	454
775	1567	452
776	1568	450
777	1570	448
778	1572	446
779	1574	444
780	1575	441
781	1576	439
782	1578	437
783	1579	435
784	1580	432
785	1581	430
786	1583	428
787	1584	426
788	1586	424
789	1588	422
790	1589	420
791	1590	417
792	1592	415
793	1593	413
794	1594	411
795	1596	409
796	1597	406
797	1599	404
798	1600	402
799	1602	400
800	1603	398
801	1605	396
802	1606	394
803	1607	391
804	1609	389
805	1610	387
806	1611	385
807	1613	383
808	1614	381
809	1616	379
810	1617	377
811	1619	374
812	1620	372
813	1621	370
814	1623	368
815	1624	366
816	1625	364
817	1627	362
818	1628	359
819	1629	357
820	1631	355
821	1633	353
822	1634	351
823	1635	349
824	1637	347
825	1638	345
826	1639	343
827	1641	340
828	1642	338
829	1644	336
830	1646	334
831	1648	332
832	1649	330
833	1651	328
834	1652	326
835	1653	324
836	1655	322
837	1656	320
838	1657	318
839	1659	316
840	1660	314
841	1662	311
842	1663	309
843	1665	307
844	1666	305
845	1667	303
846	1669	301
847	1670	299
848	1671	297
849	1673	295
850	1674	293
851	1675	291
852	1677	289
853	1678	287
854	1680	284
855	1681	282
856	1682	280
857	1684	278
858	1685	276
859	1686	274
860	1687	272
861	1689	270
862	1690	268
863	1692	266
864	1693	264
865	1694	262
866	1695	260
867	1697	258
868	1698	256
869	1699	253
870	1701	251
871	1702	249
872	1703	247
873	1705	245
874	1707	243
875	1708	241
876	1710	239
877	1711	237
878	1712	235
879	1713	233
880	1715	231
881	1716	229
882	1717	227
883	1719	225
884	1720	223
885	1722	221
886	1724	219
887	1725	217
888	1727	215
889	1728	213
890	1729	211
891	1731	209
892	1732	207
893	1734	205
894	1735	203
895	1736	201
896	1738	199
897	1739	197
898	1741	195
899	1742	193
900	1743	191
901	1745	189
902	1746	187
903	1748	185
904	1749	183
905	1751	181
906	1753	179
907	1754	177
908	1755	175
909	1757	173
910	1758	171
911	1760	169
912	1761	167
913	1762	165
914	1764	163
915	1765	161
916	1767	160
917	1769	158
918	1770	156
919	1772	154
920	1773	152
921	1775	150
922	1776	148
923	1777	146
924	1778	144
925	1780	142
926	1782	140
927	1783	138
928	1785	136
929	1786	134
930	1788	132
931	1789	130
932	1791	128
933	1792	126
934	1793	124
935	1795	122
936	1796	120
937	1798	118
938	1800	116
939	1801	114
940	1802	113
941	1804	111
942	1805	109
943	1806	107
944	1807	105
945	1808	103
946	1810	101
947	1811	99
948	1813	97
949	1815	95
950	1816	93
951	1817	91
952	1819	89
953	1820	87
954	1821	85
955	1822	83
956	1824	81
957	1825	80
958	1827	78
959	1828	76
960	1830	74
961	1831	72
962	1832	70
963	1833	68
964	1834	66
965	1836	64
966	1837	62
967	1838	60
968	1839	58
969	1841	56
970	1843	55
971	1844	53
972	1845	51
973	1846	49
974	1848	47
975	1849	45
976	1850	43
977	1851	41
978	1853	39
979	1854	37
980	1855	35
981	1857	34
982	1859	32
983	1860	30
984	1861	28
985	1862	26
986	1864	24
987	1865	22
988	1866	20
989	1868	18
990	1869	16
991	1870	15
992	1877	13
993	1878	11
994	1880	9
995	1881	7
996	1883	5
997	1884	3
998	1885	1
999	1887	0
